lat,lon,depth,time 
 40.67, -122.64, 30.5, 2013-01-01 00:00:00 
 40.69, -122.65, 30.0, 2013-01-01 00:02:30 
 40.7, -122.68, 23.0, 2013-01-01 00:05:00 
 40.72, -122.59, 43.0, 2013-01-01 00:07:30 
 40.7, -122.68, 26.0, 2013-01-01 00:10:00 
 40.77, -122.59, 44.0, 2013-01-01 00:12:30 
 40.69, -122.58, 59.0, 2013-01-01 00:15:00 
 40.64, -122.55, 56.0, 2013-01-01 00:17:30 
 40.65, -122.65, 48.5, 2013-01-01 00:20:00 
 40.68, -122.7, 34.0, 2013-01-01 00:22:30 
 40.715, -122.555, 52.0, 2013-01-01 00:27:30 
 40.67, -122.68, 32.0, 2013-01-01 00:30:00 
 40.68, -122.69, 34.0, 2013-01-01 00:32:30 
 40.68, -122.695, 36.0, 2013-01-01 00:35:00 
 40.67, -122.635, 26.5, 2013-01-01 00:37:30 
 40.705, -122.66, 21.5, 2013-01-01 00:45:00 
 40.64, -122.59, 60.0, 2013-01-01 01:17:30 
 40.7, -122.67, 31.5, 2013-01-01 01:20:00 
 40.69, -122.5, 60.0, 2013-01-01 01:22:30 
 40.62, -122.68, 45.0, 2013-01-01 22:05:00 
 40.19, -122.15, 20.0, 2013-01-02 04:07:30 
 40.63, -122.5, 20.0, 2013-01-02 04:45:00 
 40.27, -122.56, 31.0, 2013-01-02 08:00:00 
 40.31, -122.68, 20.0, 2013-01-02 08:02:30 
 40.34, -122.6, 40.0, 2013-01-02 08:32:30 
 40.38, -122.615, 42.5, 2013-01-02 08:35:00 
 40.3, -122.665, 20.0, 2013-01-02 08:50:00 
 40.31, -122.63, 20.0, 2013-01-02 08:52:30 
 40.29, -122.49, 20.0, 2013-01-02 08:55:00 
 40.33, -123.0, 20.0, 2013-01-02 09:00:00 
 40.26, -122.51, 20.0, 2013-01-02 09:05:00 
 40.28, -122.52, 20.0, 2013-01-02 09:07:30 
 40.23, -122.41, 60.0, 2013-01-02 09:10:00 
 40.3, -122.45, 32.5, 2013-01-02 09:12:30 
 40.31, -122.36, 33.0, 2013-01-02 09:15:00 
 40.31, -122.59, 20.0, 2013-01-02 09:27:30 
 40.31, -122.55, 20.0, 2013-01-02 09:30:00 
 40.29, -122.38, 20.0, 2013-01-02 10:30:00 
 40.16, -122.21, 28.0, 2013-01-02 10:55:00 
 40.22, -122.16, 60.0, 2013-01-02 10:57:30 
 40.29, -122.54, 60.0, 2013-01-02 11:17:30 
 40.12, -122.295, 32.0, 2013-01-02 12:07:30 
 40.16, -122.25, 30.0, 2013-01-02 12:10:00 
 40.19, -122.29, 46.0, 2013-01-02 12:12:30 
 40.18, -122.28, 31.5, 2013-01-02 12:15:00 
 40.17, -122.28, 30.0, 2013-01-02 12:17:30 
 40.18, -122.26, 26.0, 2013-01-02 12:20:00 
 40.21, -122.24, 27.0, 2013-01-02 12:22:30 
 40.24, -122.32, 44.0, 2013-01-02 12:42:30 
 40.23, -122.32, 37.0, 2013-01-02 12:45:00 
 40.12, -122.27, 26.0, 2013-01-02 12:47:30 
 40.18, -122.3, 44.0, 2013-01-02 12:50:00 
 40.19, -122.33, 37.5, 2013-01-02 12:52:30 
 40.32, -122.59, 42.0, 2013-01-02 12:57:30 
 40.28, -122.36, 20.0, 2013-01-02 13:15:00 
 40.29, -122.36, 20.0, 2013-01-02 13:17:30 
 40.25, -122.535, 30.0, 2013-01-02 13:20:00 
 40.23, -122.41, 20.0, 2013-01-02 13:22:30 
 40.11, -122.22, 24.5, 2013-01-02 13:40:00 
 40.12, -122.22, 30.5, 2013-01-02 13:42:30 
 40.25, -122.37, 43.0, 2013-01-02 13:45:00 
 40.225, -122.35, 33.0, 2013-01-02 13:47:30 
 40.22, -122.3, 27.0, 2013-01-02 13:50:00 
